title,state,wiki_link,imdb_link,imdb_id
Miss Evers' Boys,Alabama,https://en.wikipedia.org/wiki/Miss_Evers%27_Boys,https://www.imdb.com/title/tt0119679/,tt0119679
My Cousin Vinny,Alabama,https://en.wikipedia.org/wiki/My_Cousin_Vinny,https://www.imdb.com/title/tt0104952/,tt0104952
Oculus,Alabama,https://en.wikipedia.org/wiki/Oculus_(film),https://www.imdb.com/title/tt2388715/,tt2388715
One Christmas,Alabama,https://en.wikipedia.org/wiki/One_Christmas,https://www.imdb.com/title/tt0110732/,tt0110732
The Phenix City Story,Alabama,https://en.wikipedia.org/wiki/The_Phenix_City_Story,https://www.imdb.com/title/tt0048488/,tt0048488
Polly,Alabama,https://en.wikipedia.org/wiki/Polly_(film),https://www.imdb.com/title/tt0098106/,tt0098106
Rage,Alabama,https://en.wikipedia.org/wiki/Rage_(2014_film),https://www.imdb.com/title/tt2401807/,tt2401807
Raw Nerve,Alabama,https://en.wikipedia.org/wiki/Raw_Nerve_(1991_film),https://www.imdb.com/title/tt0102761/,tt0102761
Red,Alabama,https://en.wikipedia.org/wiki/Red_(2010_film),https://www.imdb.com/title/tt1245526/,tt1245526
The Rosa Parks Story,Alabama,https://en.wikipedia.org/wiki/The_Rosa_Parks_Story,https://www.imdb.com/title/tt0293562/,tt0293562
Selma,Alabama,https://en.wikipedia.org/wiki/Selma_(film),https://www.imdb.com/title/tt1020072/,tt1020072
"Selma, Lord, Selma",Alabama,"https://en.wikipedia.org/wiki/Selma,_Lord,_Selma",https://www.imdb.com/title/tt0171728/,tt0171728
Sins of the Father,Alabama,https://en.wikipedia.org/wiki/Sins_of_the_Father_(2002_film),https://www.imdb.com/title/tt0295613/,tt0295613
The Sisterhood of the Traveling Pants 2,Alabama,https://en.wikipedia.org/wiki/The_Sisterhood_of_the_Traveling_Pants_2,https://www.imdb.com/title/tt1018785/,tt1018785
Smokey and the Bandit,Alabama,https://en.wikipedia.org/wiki/Smokey_and_the_Bandit,https://www.imdb.com/title/tt0076729/,tt0076729
Space Warriors,Alabama,https://en.wikipedia.org/wiki/Space_Warriors_(2013_film),https://www.imdb.com/title/tt2328745/,tt2328745
Stay Hungry,Alabama,https://en.wikipedia.org/wiki/Stay_Hungry,https://www.imdb.com/title/tt0075268/,tt0075268
Sud,Alabama,https://en.wikipedia.org/wiki/Sud_(1999_film),https://www.imdb.com/title/tt0201952/,tt0201952
