title,state,wiki_link,imdb_link,imdb_id,year,genres,rating,votes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Due Date,California,https://en.wikipedia.org/wiki/Due_Date,https://www.imdb.com/title/tt1231583/,tt1231583,2010,"Comedy,Drama",6.5,320749,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Due Date,Georgia,https://en.wikipedia.org/wiki/Due_Date,https://www.imdb.com/title/tt1231583/,tt1231583,2010,"Comedy,Drama",6.5,320749,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Due Date,Louisiana,https://en.wikipedia.org/wiki/Due_Date,https://www.imdb.com/title/tt1231583/,tt1231583,2010,"Comedy,Drama",6.5,320749,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Due Date,Mississippi,https://en.wikipedia.org/wiki/Due_Date,https://www.imdb.com/title/tt1231583/,tt1231583,2010,"Comedy,Drama",6.5,320749,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Due Date,New Mexico,https://en.wikipedia.org/wiki/Due_Date,https://www.imdb.com/title/tt1231583/,tt1231583,2010,"Comedy,Drama",6.5,320749,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Due Date,Texas,https://en.wikipedia.org/wiki/Due_Date,https://www.imdb.com/title/tt1231583/,tt1231583,2010,"Comedy,Drama",6.5,320749,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fantasia Among the Squares,Alabama,https://en.wikipedia.org/wiki/Fantasia_Among_the_Squares,https://www.imdb.com/title/tt0150505/,tt0150505,1971,Comedy,4.6,216,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Fighting Kentuckian,Alabama,https://en.wikipedia.org/wiki/The_Fighting_Kentuckian,https://www.imdb.com/title/tt0041361/,tt0041361,1949,"Adventure,Romance,War",6.5,2834,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
Forrest Gump,Alabama,https://en.wikipedia.org/wiki/Forrest_Gump,https://www.imdb.com/title/tt0109830/,tt0109830,1994,"Drama,Romance",8.8,1769908,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Forrest Gump,Arizona,https://en.wikipedia.org/wiki/Forrest_Gump,https://www.imdb.com/title/tt0109830/,tt0109830,1994,"Drama,Romance",8.8,1769908,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Forrest Gump,California,https://en.wikipedia.org/wiki/Forrest_Gump,https://www.imdb.com/title/tt0109830/,tt0109830,1994,"Drama,Romance",8.8,1769908,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Forrest Gump,Georgia,https://en.wikipedia.org/wiki/Forrest_Gump,https://www.imdb.com/title/tt0109830/,tt0109830,1994,"Drama,Romance",8.8,1769908,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Forrest Gump,New York,https://en.wikipedia.org/wiki/Forrest_Gump,https://www.imdb.com/title/tt0109830/,tt0109830,1994,"Drama,Romance",8.8,1769908,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Fried Green Tomatoes,Alabama,https://en.wikipedia.org/wiki/Fried_Green_Tomatoes,https://www.imdb.com/title/tt0101921/,tt0101921,1991,Drama,7.7,65917,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fried Green Tomatoes,Georgia,https://en.wikipedia.org/wiki/Fried_Green_Tomatoes,https://www.imdb.com/title/tt0101921/,tt0101921,1991,Drama,7.7,65917,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
George Wallace,Alabama,https://en.wikipedia.org/wiki/George_Wallace_(film),https://www.imdb.com/title/tt0119189/,tt0119189,1997,"Biography,Drama",7.1,1233,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
George Wallace,Massachusetts,https://en.wikipedia.org/wiki/George_Wallace_(film),https://www.imdb.com/title/tt0119189/,tt0119189,1997,"Biography,Drama",7.1,1233,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Girl House,Alabama,https://en.wikipedia.org/wiki/Girl_House,https://www.imdb.com/title/tt2577172/,tt2577172,2014,"Horror,Thriller",5.5,8131,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Grace Unplugged,Alabama,https://en.wikipedia.org/wiki/Grace_Unplugged,https://www.imdb.com/title/tt2349460/,tt2349460,2013,"Drama,Music",6.1,3216,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Grace Unplugged,California,https://en.wikipedia.org/wiki/Grace_Unplugged,https://www.imdb.com/title/tt2349460/,tt2349460,2013,"Drama,Music",6.1,3216,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Grass Harp,Alabama,https://en.wikipedia.org/wiki/The_Grass_Harp_(film),https://www.imdb.com/title/tt0113211/,tt0113211,1995,"Comedy,Drama",7.0,2967,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,Alabama,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,Georgia,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,Indiana,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,Iowa,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,Kentucky,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,Louisiana,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,Mississippi,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,New York,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,North Carolina,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,Ohio,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,Pennsylvania,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,Tennessee,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692,2018,"Biography,Comedy,Drama",8.2,350330,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Harold & Kumar Escape from Guantanamo Bay,Alabama,https://en.wikipedia.org/wiki/Harold_%26_Kumar_Escape_from_Guantanamo_Bay,https://www.imdb.com/title/tt0481536/,tt0481536,2008,"Adventure,Comedy",6.6,129673,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Harold & Kumar Escape from Guantanamo Bay,Florida,https://en.wikipedia.org/wiki/Harold_%26_Kumar_Escape_from_Guantanamo_Bay,https://www.imdb.com/title/tt0481536/,tt0481536,2008,"Adventure,Comedy",6.6,129673,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Harold & Kumar Escape from Guantanamo Bay,Texas,https://en.wikipedia.org/wiki/Harold_%26_Kumar_Escape_from_Guantanamo_Bay,https://www.imdb.com/title/tt0481536/,tt0481536,2008,"Adventure,Comedy",6.6,129673,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Heart of Dixie,Alabama,https://en.wikipedia.org/wiki/Heart_of_Dixie_(film),https://www.imdb.com/title/tt0097490/,tt0097490,1989,Drama,5.2,656,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Heavens Fall,Alabama,https://en.wikipedia.org/wiki/Heavens_Fall,https://www.imdb.com/title/tt0425094/,tt0425094,2006,"Crime,Drama",6.7,1237,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hell and Mr. Fudge,Alabama,https://en.wikipedia.org/wiki/Hell_and_Mr._Fudge,https://www.imdb.com/title/tt1966465/,tt1966465,2012,"Biography,Drama",5.9,158,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Honeydripper,Alabama,https://en.wikipedia.org/wiki/Honeydripper_(film),https://www.imdb.com/title/tt0829193/,tt0829193,2007,"Crime,Drama,History",6.6,1900,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Honeymoon Killers,Alabama,https://en.wikipedia.org/wiki/The_Honeymoon_Killers,https://www.imdb.com/title/tt0064437/,tt0064437,1970,"Crime,Drama,Romance",7.0,4356,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
